# Sxx,Syy,Sxy,Smises,Exx,Eyy,Exy,Ux,Uy
3.967671902200062828e+00,2.166987844936427265e+00,-2.732718900666258888e-02,3.441307917728922749e+00,1.217003482707970097e-01,3.166614540761523988e-02,-1.366359450333129444e-03,6.981115819162840574e-02,5.762943343397156602e-03
3.971253014730980357e+00,2.149359305488458105e+00,-2.652244758871435959e-02,3.443407706054699702e+00,1.220549967338060426e-01,3.096031127167991892e-02,-1.326122379435717979e-03,7.320080289948771579e-02,6.339169826366306514e-03
3.967617599214407154e+00,2.159112181696726918e+00,-2.941380593222450712e-02,3.440903784168805046e+00,1.217967576993311818e-01,3.137148682344717554e-02,-1.470690296611225356e-03,7.098794640618452667e-02,6.299573898441389146e-03
3.971369589921189380e+00,2.166266422633279731e+00,-2.204299287825443876e-02,3.444256047344782523e+00,1.218480293391286107e-01,3.159287097473312267e-02,-1.102149643912721938e-03,7.067152053531057521e-02,5.187922035140489670e-03
3.971140305929810488e+00,2.158057108174284533e+00,-2.447336126319366034e-02,3.443692071452845394e+00,1.219420476201893422e-01,3.128788773241304721e-02,-1.223668063159683017e-03,7.186420485310617001e-02,5.779832039979550425e-03
3.963807202692109399e+00,2.168531406685708429e+00,-3.264891573511952139e-02,3.438292228404577600e+00,1.215361275173827416e-01,3.177233771706269860e-02,-1.632445786755976069e-03,6.879438373209068036e-02,6.316641575020620972e-03
3.937045845602137106e+00,2.116482309413977525e+00,-2.510067390201242699e-01,3.440371000628740905e+00,1.211831903424054335e-01,3.015501353299743226e-02,-1.255033695100621349e-02,3.943395069137244080e-02,1.205871574182509551e-02
3.919908647201456375e+00,2.130886287565791015e+00,-2.857386026242153543e-01,3.434882856109860771e+00,1.203604956754822375e-01,3.090937769369896115e-02,-1.428693013121076771e-02,3.779101418589788514e-02,1.161819342805289756e-02
3.920826606660420488e+00,2.142427542960457565e+00,-2.612005077622794880e-01,3.430374215565438423e+00,1.202506534627600376e-01,3.133070027776191369e-02,-1.306002538811397440e-02,3.950569096004907799e-02,1.147564242794073090e-02
3.954727374772913251e+00,2.075188235278806026e+00,-2.638550815764884039e-01,3.456635591290357912e+00,1.223624236129991771e-01,2.838546663829380479e-02,-1.319275407882442019e-02,3.760774807131674752e-02,1.282506625932151520e-02
3.936927110993486245e+00,2.104269297935684069e+00,-2.739250493734984859e-01,3.445010058861780688e+00,1.213314004380596778e-01,2.969850978516956619e-02,-1.369625246867492430e-02,3.778254819768443046e-02,1.221255292019801306e-02
3.920163541281729280e+00,2.157104627465544766e+00,-2.365386119552015387e-01,3.425263667769872455e+00,1.200423249547455384e-01,3.188937926393631273e-02,-1.182693059776007694e-02,4.130893191622966171e-02,1.129591585432149561e-02
3.991650430102443359e+00,2.102351189478252280e+00,-7.663754698183367076e-03,3.458537096770629482e+00,1.234075012603634836e-01,2.894253922915390742e-02,-3.831877349091683538e-04,8.992514287847783172e-02,5.005522188671471771e-03
3.988966516591620604e+00,2.100906673780894351e+00,-1.111888171814123805e-02,3.456238885670710026e+00,1.233249109499245932e-01,2.892191880938826953e-02,-5.559440859070619023e-04,8.933004245494310935e-02,6.075950271130153152e-03
3.989555636487144952e+00,2.104700280740261942e+00,-9.952663832286656742e-03,3.456847660337836192e+00,1.232995828590146559e-01,2.905681507167050259e-02,-4.976331916143328371e-04,8.839397892185045513e-02,5.555327696221519333e-03
3.993463524649268681e+00,2.095863751052760016e+00,-6.205155256443911638e-03,3.459878011588353619e+00,1.235565852861880698e-01,2.867659660636264624e-02,-3.102577628221955819e-04,9.261895099585049085e-02,4.903423652516626305e-03
3.991186479462933256e+00,2.098624950172275128e+00,-8.668836363807108647e-03,3.458036742851911427e+00,1.234366811027065580e-01,2.880860463817364048e-02,-4.334418181903554323e-04,9.088822784275171762e-02,5.476631791897732318e-03
3.989962504811677135e+00,2.108905995557148749e+00,-8.961217919687299027e-03,3.457321267937679909e+00,1.232622689859735332e-01,2.920944352324711391e-02,-4.480608959843649514e-04,8.726245657807002454e-02,5.061729778053774241e-03
3.926530757367942215e+00,2.549591133003607624e+00,-1.984883425576235497e-02,3.450824924602779564e+00,1.153750142387527378e-01,4.652803302053601375e-02,-9.924417127881177483e-04,4.252778257434722958e-02,1.276174955755624094e-03
3.934138146004564351e+00,2.553636491313946877e+00,-1.157259128539755988e-02,3.457245337652241179e+00,1.156097243337468328e-01,4.658464159921595071e-02,-5.786295642698779940e-04,4.241771291951674377e-02,7.739429414438171208e-04
3.933499933256985770e+00,2.536287120775394754e+00,-1.438338850962131432e-02,3.453883250668491112e+00,1.158026584874445319e-01,4.594201786336497839e-02,-7.191694254810657161e-04,4.290265921946253419e-02,1.009400807315057394e-03
3.919177034848241981e+00,2.582196942210882362e+00,-2.330556267667920067e-02,3.450975539066000852e+00,1.146916770291730447e-01,4.784267239730505272e-02,-1.165278133833960034e-03,4.161580154810946841e-02,1.358220761009347379e-03
3.926814185517581102e+00,2.566751840797267370e+00,-1.742401488475417426e-02,3.453959743476508137e+00,1.151711339469434492e-01,4.716801671092776815e-02,-8.712007442377087130e-04,4.204676156443819257e-02,1.065859606581063754e-03
