# Sxx,Syy,Sxy, Smises
7.803498316518907574e-01,3.280861063678342654e-02,-8.974317766451356260e-03,7.646317323012586931e-01
2.240357453827140216e-02,6.503579452530255933e-01,-6.145887738934988770e-03,6.395391701929561412e-01
4.951440957469611659e-01,1.985217957911487030e-01,6.499760634668915447e-05,4.316036336364809656e-01
3.612032441550331874e-01,2.975467598007441317e-01,1.310042233207398248e-05,3.339565891595167590e-01
1.928229746438732684e-01,4.463670107107843843e-01,5.460851985053218538e-06,3.877555842314961976e-01
7.874921910828653893e-01,2.348622087935489655e-02,-4.350159104105454089e-02,7.796649942869412486e-01
7.655355868513488149e-01,2.873813369384857486e-02,-7.197340715838911052e-02,7.618471402031207207e-01
7.601049109835172901e-01,4.222768667881295762e-02,-1.061587727935705827e-01,7.624003123835775275e-01
7.380854981571590701e-01,5.293834089071819404e-02,-1.395853828438142763e-01,7.529620748279338693e-01
7.125690036497029922e-01,6.769659292056150190e-02,-1.695564142770820404e-01,7.418537947297991764e-01
6.853040927989375586e-01,8.263621872833400162e-02,-1.980434438899441318e-01,7.331460443513998504e-01
6.530656332979621892e-01,9.955061308521635788e-02,-2.211980847693951480e-01,7.198456361594193220e-01
6.241244434991024548e-01,1.235271502325570175e-01,-2.454038993009071967e-01,7.129959223571940008e-01
5.799835633098882059e-01,1.441869223458222549e-01,-2.620761736259332730e-01,6.925290749330386131e-01
5.460620727534022389e-01,1.666342262174766164e-01,-2.771551424606150116e-01,6.822045445934495911e-01
5.096599776295273054e-01,1.950055567172116477e-01,-2.889101338455305479e-01,6.699262113021996479e-01
4.715744536796291353e-01,2.208239504100723838e-01,-2.976323935420687739e-01,6.578494308887756770e-01
4.309428676324481566e-01,2.409200466631873927e-01,-2.994907348225982480e-01,6.395432346620770758e-01
3.982881842023972552e-01,2.699477586492067815e-01,-3.041610238178262815e-01,6.336639903630302273e-01
3.589486021779202951e-01,2.950155688563713130e-01,-3.049122921674286557e-01,6.236163696983899607e-01
3.249387521997593731e-01,3.214632717316344701e-01,-3.032778490027714380e-01,6.167660127197812647e-01
2.924590489226889245e-01,3.478689971645168022e-01,-2.988859809395220113e-01,6.105785676152800656e-01
2.609859857692586882e-01,3.773392810645861406e-01,-2.914908315107670456e-01,6.057384486135094503e-01
2.283567057769562425e-01,4.014101003468069084e-01,-2.817379319383452874e-01,5.997840881780956979e-01
2.045877262285748510e-01,4.282115778665882555e-01,-2.733461902777188923e-01,6.014722597925232783e-01
1.781401147524746542e-01,4.575551628239571955e-01,-2.622879960849518466e-01,6.049517972290148204e-01
1.511305241797387122e-01,4.805355781462523068e-01,-2.478315635259342731e-01,6.044772411183618743e-01
1.294656193453795068e-01,5.128738731234097070e-01,-2.318455908213215566e-01,6.120935848748679797e-01
1.052594143310780217e-01,5.339136319232118399e-01,-2.107036598005648798e-01,6.108452923770445464e-01
8.719174801154110088e-02,5.594854903043852135e-01,-1.921464921424392569e-01,6.185504993318220457e-01
7.044567292394848801e-02,5.806930801361881445e-01,-1.685899067086158998e-01,6.217132790051589364e-01
5.606956097060628724e-02,6.034099635247094362e-01,-1.444680773063522772e-01,6.293071778471863720e-01
4.512548001911413642e-02,6.190129244310257350e-01,-1.157741920969792421e-01,6.304689087288486427e-01
3.348496538084545782e-02,6.358707645737726732e-01,-8.750564638192581679e-02,6.380693348327453052e-01
2.455987616055854000e-02,6.387846608991872843e-01,-6.263057153222033324e-02,6.361826182972315502e-01
2.096029929466428077e-02,6.581451984478787764e-01,-3.591110422241845790e-02,6.508981012932255616e-01
4.959366880590291848e-01,1.986530312709676172e-01,-8.792145613623471388e-05,4.323157667553195194e-01
4.963784162086763430e-01,1.971396007824899599e-01,-1.366503950520359936e-04,4.328969478826129591e-01
4.990264537045830950e-01,1.970423186609772392e-01,-2.223545971605878167e-04,4.353434226606062718e-01
5.006101485309485399e-01,1.940984627630529535e-01,-4.692520658104871317e-04,4.371701435119074719e-01
5.032443885305313280e-01,1.909653138122812399e-01,-4.603621700792433539e-04,4.400239526285720792e-01
5.090231644476914674e-01,1.900361573317408959e-01,-6.532416919788480714e-04,4.455185709343641443e-01
5.129503453301859084e-01,1.851832274656590449e-01,-6.118413921062376823e-04,4.499135551200408867e-01
5.193350126193766458e-01,1.805236154655461001e-01,-6.788706323555894788e-04,4.566692233479633378e-01
5.266191695697000075e-01,1.756635854292783461e-01,-7.744112477254760062e-04,4.644129979448131107e-01
5.345643636294519219e-01,1.691376960531308926e-01,-7.520282282752689847e-04,4.732370768142507012e-01
5.454307890545403437e-01,1.630221381615676868e-01,-9.429086983352404430e-04,4.849292081933668785e-01
5.570988073587020972e-01,1.542071397344514372e-01,-1.328727124384342486e-03,4.982324819003901006e-01
5.682859099743263753e-01,1.436200587130644912e-01,-1.456705841694688969e-03,5.118248791916039098e-01
5.877922204566534692e-01,1.345587486277902423e-01,-3.624908163417482274e-03,5.334347059401197688e-01
5.953124896195242099e-01,1.118690567404166530e-01,-2.721559946969121305e-03,5.480299445642512479e-01
6.307572040462441354e-01,1.102408896792663462e-01,-2.572031372739416386e-03,5.835171933233792574e-01
6.509242198513187638e-01,8.424860082906378278e-02,-2.378845283991657105e-03,6.131701955225277167e-01
6.863868329607996088e-01,6.097681034126081062e-02,-5.482833755565770864e-03,6.580893256429060090e-01
7.076270380001674631e-01,2.368001375207890585e-02,-5.606670603233278663e-03,6.961569178243951495e-01
3.613059475757552930e-01,2.974365443980830914e-01,-4.882737115978819163e-05,3.339833833172186073e-01
3.615588130644550313e-01,2.967729839375822798e-01,-1.281666547983918920e-04,3.339133731341100697e-01
3.626261046100043850e-01,2.962911715954688052e-01,-1.495711068942308884e-04,3.344298190033152540e-01
3.636398738166353173e-01,2.950978837795466547e-01,-2.388667329205248753e-04,3.346752646840562839e-01
3.650585433868936969e-01,2.940492231045215288e-01,-2.539662515437592929e-04,3.352427450879729709e-01
3.667821635814077497e-01,2.925928125697753179e-01,-3.773755513895875780e-04,3.358903271652208256e-01
3.688994991740979223e-01,2.906707872021899730e-01,-3.571165722572615300e-04,3.366725735740156433e-01
3.711748994115719458e-01,2.887858678322398065e-01,-4.500621579759074087e-04,3.376072061383367795e-01
3.739743817932045244e-01,2.867356249085406539e-01,-5.907762492921254591e-04,3.388855644841947679e-01
3.773033950172287043e-01,2.842406913941526447e-01,-8.138031166164082491e-04,3.404520986823734163e-01
3.817194568588159198e-01,2.829778037217072773e-01,-8.778263399701659048e-04,3.431768630622542560e-01
3.837414213452521317e-01,2.785448057570473201e-01,-1.258638318326382906e-03,3.434534322320977329e-01
3.866761662378694342e-01,2.746769273051073434e-01,-9.462453589659335475e-04,3.446121542643162394e-01
3.909861071828819035e-01,2.716998878098562109e-01,-9.398794196030826583e-04,3.470774174576634619e-01
3.979641979581270417e-01,2.700884861886926336e-01,-1.077123399668339799e-03,3.519108211305834732e-01
3.994555542932547998e-01,2.649789439909610023e-01,-9.402347741178963825e-04,3.520424999778251629e-01
4.043694404984826130e-01,2.613245000438175758e-01,-1.095546325556352903e-03,3.551578487464371880e-01
4.111488829777187881e-01,2.583694085921949268e-01,-9.688923166732998395e-04,3.599620504841803958e-01
4.158036073357661011e-01,2.538622477283219436e-01,-8.057425863390829971e-04,3.630203713108343111e-01
4.203407163199243124e-01,2.496081925224240550e-01,-8.315774873416543469e-04,3.661586482521116959e-01
4.261103303665204622e-01,2.463321451103663573e-01,-1.017003890568561001e-03,3.705239135570175257e-01
4.315120320846386193e-01,2.424835807744837868e-01,-8.982122393186076949e-04,3.746581888168911689e-01
4.359682598040740542e-01,2.372308452849636318e-01,-9.724842297837384998e-04,3.780535886580199678e-01
4.429097737021516767e-01,2.339298836866868792e-01,-1.076161486692951523e-03,3.837784525574008954e-01
4.474620819659984594e-01,2.293923963913823971e-01,-1.099027171364962184e-03,3.875595575201825072e-01
4.530212114615475016e-01,2.266856822618056877e-01,-1.043250678701848969e-03,3.923320778285834809e-01
4.575604660784777233e-01,2.227693634462338257e-01,-8.931943504022765712e-04,3.963075939597577868e-01
4.627197105517556475e-01,2.195482231632720493e-01,-8.691805148043595108e-04,4.009038899503107323e-01
4.672438355774834462e-01,2.162632400350018858e-01,-9.488441305083080562e-04,4.050205254339327432e-01
4.720900071864925773e-01,2.134843916626610882e-01,-8.689287259636009056e-04,4.094666988731584523e-01
4.762926715072626216e-01,2.111756300446560042e-01,-7.033368948238157827e-04,4.133641671860865396e-01
4.794602426317954857e-01,2.078871285424109816e-01,-6.603484098351608718e-04,4.164455277311122083e-01
4.837701051349434511e-01,2.060167699542459208e-01,-5.806968279020183286e-04,4.204910002494056664e-01
4.862414282452397485e-01,2.036900546498829068e-01,-5.821795734012347482e-04,4.229407034231866813e-01
4.890423300810778362e-01,2.024034155333386542e-01,-5.097270025993949497e-04,4.256130692856485154e-01
4.913952816955957092e-01,2.011449957884961504e-01,-3.600285977457909369e-04,4.278870402315009258e-01
4.930625159514385736e-01,1.999002863765295679e-01,-3.037144751564727204e-04,4.295436039763642633e-01
4.943497309328711564e-01,1.993900815037659979e-01,-1.521209971767235999e-04,4.307780140116297951e-01
4.951096958940121029e-01,1.990665625758626101e-01,-1.214275102951175916e-04,4.315105633450356803e-01
1.936178664516066128e-01,4.462387048915482102e-01,-1.837408899384204816e-04,3.875786052731402531e-01
1.938285735224360984e-01,4.445424166679654565e-01,-2.270576259926703703e-04,3.860344651754113454e-01
1.960880597649803103e-01,4.441490546236823156e-01,-3.888556907309066789e-04,3.855217726200969586e-01
1.977847947205866874e-01,4.416096069304219496e-01,-3.525190815403296410e-04,3.831378045973047319e-01
2.007907458506580922e-01,4.388617835630018171e-01,-4.453212190264626441e-04,3.805230594554839252e-01
2.040880731565262729e-01,4.357266091028830224e-01,-5.213065908714370911e-04,3.776027419019768461e-01
2.077288015006409916e-01,4.321173581157409793e-01,-5.142135693384625693e-04,3.743183651593904315e-01
2.133081191929337428e-01,4.288060146499770298e-01,-8.601469550468473797e-04,3.713615044513523533e-01
2.154858499050034959e-01,4.214272779209711217e-01,-9.902184586501651137e-04,3.650019568810503046e-01
2.241728099334241997e-01,4.206158118074873609e-01,-9.868105368403270409e-04,3.645317582950939883e-01
2.273561308100609246e-01,4.125227724523257145e-01,-8.330123242304760716e-04,3.578803547576645538e-01
2.345243992935759636e-01,4.083858128722950287e-01,-6.790884898047601197e-04,3.549726919905460409e-01
2.402343687321691623e-01,4.020510162252170505e-01,-8.974969558603524723e-04,3.503905192627773668e-01
2.476959468258776442e-01,3.970558703219366770e-01,-7.966363143345209577e-04,3.473606488610440635e-01
2.538804383832083955e-01,3.905687148284825994e-01,-1.140832207292048588e-03,3.432860992690743296e-01
2.601575667172767448e-01,3.843627402769426715e-01,-7.784394838426743866e-04,3.397405161153299602e-01
2.686114840769353584e-01,3.796084296601415220e-01,-8.973241517793086475e-04,3.380679238848709467e-01
2.741345157090582796e-01,3.710029171851169094e-01,-9.819437994683156458e-04,3.333032926248894467e-01
2.821262391900782873e-01,3.662508223485688164e-01,-9.880198988583117035e-04,3.322782586192280507e-01
2.882181539783221780e-01,3.607672158886321978e-01,-1.016458715201429795e-03,3.305240186860033957e-01
2.946010042203919266e-01,3.551108096657867308e-01,-9.467573483412975409e-04,3.290594577588170644e-01
3.005510989992756787e-01,3.491994970465843728e-01,-9.548985285430075694e-04,3.275999003869111137e-01
3.069683248755773475e-01,3.436510032427894656e-01,-7.173083571469052004e-04,3.268595039053946993e-01
3.130044066209414222e-01,3.389058099932729662e-01,-8.868391843742813021e-04,3.267296345684103653e-01
3.184784472236996122e-01,3.337299763093543037e-01,-8.315215776935848055e-04,3.263747662900094437e-01
3.239149828554906962e-01,3.290441744732762741e-01,-7.626005002259331547e-04,3.265124674777843405e-01
